,spy_buy_hold,spy_plus_05pct_puts,spy_plus_1pct_puts
2021-10-26,414.39416343478734,772.0204977414646,1426.0255652544142
2021-10-27,412.558312244859,768.763495732355,1420.3092643598743
2021-10-28,416.5390192804447,776.0146981085404,1433.401212834168
2021-10-29,417.3842378975899,777.560146558279,1436.2026964143274
2021-11-01,418.1022193035512,782.6455744272731,1452.5167927318114
2021-11-02,419.7926565378407,785.4946005769237,1457.2240155177597
2021-11-03,422.3555775059579,789.9159240941375,1464.7368371609741
2021-11-04,424.34593102375067,793.681777463888,1471.7990220541078
2021-11-05,425.81824732458324,796.6956292716479,1477.867645125739
2021-11-08,426.18178221367816,797.3799531747993,1479.1448446496
2021-11-09,424.77308451843606,794.904698050089,1474.8484589946406
2021-11-10,421.3558565609472,788.8208333604717,1464.1335634703569
2021-11-11,421.4921821443577,788.7055548241533,1463.2369007918044
2021-11-12,424.6731124239356,794.3211889767235,1473.035471625581
2021-11-15,424.8185263795735,794.450638537984,1473.0130714351253
2021-11-16,426.49987524163555,797.4498365900556,1478.3061317329762
2021-11-17,425.46380080771587,795.7987334660755,1475.773008089975
2021-11-18,426.9088519918669,798.6317009811002,1481.2663436973191
2021-11-19,426.14542872476824,797.2469407844833,1478.7782946972125
2021-11-22,424.94576359075654,795.1334319040865,1475.0986462684757
2021-11-23,425.5092426688524,795.8929739539689,1475.9650205304563
2021-11-24,426.6452891972736,797.7278861513162,1478.833031542521
2021-11-26,417.12976347522306,783.6273679863446,1459.4983065054853
2021-11-29,422.2465170392288,790.7935869231912,1468.355587303814
2021-11-30,414.0306285456925,777.4746867119854,1447.430198064581
2021-12-01,409.431912198646,775.0885311838134,1454.6038978786291
2021-12-02,415.7028890355269,785.9241644643907,1473.003713801682
2021-12-03,412.0857168890361,779.9570890358838,1463.4509214286743
2021-12-06,416.96617277513104,788.1735101542473,1476.9595455600956
2021-12-07,425.59103801889887,803.2693731734753,1502.9888220977423
2021-12-08,426.7179961750925,805.0449333572324,1505.6521252491332
2021-12-09,423.83698217901787,799.7483996616621,1496.0058873540484
2021-12-10,427.8267775868302,806.959855473507,1508.9018912529168
2021-12-13,424.0369263680198,799.8429184039413,1495.652295977682
2021-12-14,421.11955888303623,794.4345085734122,1485.715583787393
2021-12-15,427.69954037564713,806.4814890011478,1507.560031219696
2021-12-16,423.92786590129185,799.5506899990625,1494.943473092065
2021-12-17,419.432288946468,791.2346342810371,1479.6992701082797
2021-12-20,414.9722888204805,782.8987917660336,1464.255009498709
2021-12-21,422.34177778121216,796.5197037335646,1489.201768951741
2021-12-22,426.56464088618594,804.2569703684245,1503.2427942323775
2021-12-23,429.21875139060745,809.1695042577204,1512.253493490832
2021-12-27,435.2931073904183,820.4810787260067,1533.1323907627616
2021-12-28,434.93740185889817,819.7893649057925,1531.7998877693612
2021-12-29,435.49376179281535,820.793935239976,1533.5942975795551
2021-12-30,434.2898353784378,818.52619615617,1529.3594566788097
2021-12-31,433.19535681991306,816.4646151708929,1525.5096013144973
2022-01-03,435.703536849866,825.1432744534649,1549.1054433896254
2022-01-04,435.5576063753953,824.7184755697485,1548.0318891971315
2022-01-05,427.19396605733743,810.0909020468271,1522.8218520399544
2022-01-06,426.79265725254527,809.0777551166108,1520.4489280106027
2022-01-07,425.10533614148665,805.4486805236546,1512.829245159918
2022-01-10,424.5763381715326,804.2376095701865,1510.166286212134
2022-01-11,428.44349574498625,810.8831799886375,1521.382072313164
2022-01-12,429.60181888609094,812.8090836281252,1524.4998962160648
2022-01-13,423.6825140154042,802.4881414074312,1506.7756417831217
2022-01-14,423.85580645383794,802.4080025818442,1505.8658248867082
2022-01-18,416.34950767329013,789.3099475007475,1483.3519936104167
2022-01-19,412.02631736711874,781.8267055706883,1470.6120256578529
2022-01-20,407.4659900399327,774.1744904545901,1458.0755071424867
2022-01-21,399.46717590804946,761.432114140956,1438.6251554665378
2022-01-24,401.1636176737625,765.2050761641442,1446.7492479542536
2022-01-25,396.2658261243651,756.8301261294556,1432.6994728687514
2022-01-26,395.271674767039,754.7207962341469,1428.3176224324031
2022-01-27,393.31985467100327,750.1214861644568,1418.0029601078263
2022-01-28,403.08807580583493,766.1345239431374,1443.4448813677377
2022-01-31,410.34811691071457,778.0195184079646,1462.292752444199
2022-02-01,413.12079592564254,785.9766466845429,1482.328744922553
2022-02-02,417.1338839735657,793.2846409705804,1495.5046375945199
2022-02-03,407.3291802201175,775.4407356126488,1463.3595009527846
2022-02-04,409.2445176975355,778.8667306128034,1469.4161792734963
2022-02-07,407.9311434273058,775.7106397555542,1462.237219853579
2022-02-08,411.2875443401142,781.4623386129672,1471.9029828155874
2022-02-09,417.3071764119996,792.3943800420244,1491.5511718235396
2022-02-10,409.8099982861061,779.2672738985625,1468.9119909681815
2022-02-11,401.7290982623332,765.7267940407684,1446.7934948150835
2022-02-14,400.4157239921046,763.2261031835211,1442.07473539517
2022-02-15,406.8731474873988,774.0890748983261,1459.9108108764242
2022-02-16,407.3291802201175,774.3005356126489,1459.0849009527847
2022-02-17,398.62807567984737,759.4217211833762,1434.1503822958375
2022-02-18,396.0469304126602,754.3149655403108,1424.1547724636398
2022-02-22,391.79670534372315,745.9416756828255,1407.8254329519655
