date,1x_unhedged,1x_aud_puts,1x_jpy_calls,1x_dual_hedge,3x_unhedged,3x_aud_puts,3x_jpy_calls,3x_dual_hedge,5x_unhedged,5x_aud_puts,5x_jpy_calls,5x_dual_hedge,audjpy
2022-09-06,194.77754483874796,608.3241704333614,165.67663250208824,332.55355831241656,413.9678618903873,6383.2311521546235,232.01409067384822,1600.9907273570957,403.1533207983478,18568.037438639087,135.35021473784644,2794.6498682853216,96.25205636220583
2022-09-07,196.76387861283933,614.5278364993253,167.3661963118645,335.94492647611884,426.63274601974655,6578.518976054249,239.11230250445885,1649.971249568564,423.71002968134087,19514.818031686813,142.25169568337537,2937.1485178275675,97.23522211822305
2022-09-08,196.8401868004192,614.7661602493511,167.43110360680467,336.07521130607216,427.12911108187825,6586.172741525248,239.39049726094757,1651.8909055008578,424.5316374035591,19552.65882862187,142.5275331275822,2942.843884315266,97.26795599971241
2022-09-09,197.4353999872063,616.6251146189784,167.93738843799179,337.09144889847227,431.0038210713739,6645.919334890176,241.56213278533946,1666.8760657885496,430.95021566489584,19848.279366295545,144.68243524835162,2987.3373263067706,97.55471590504028
2022-09-11,197.41972589280195,616.5761616943294,167.92405614560366,337.06468772396516,430.9011708691222,6644.3365067793275,241.50460104066693,1666.4790735650088,430.77915327273246,19840.400743602466,144.62500466222366,2986.1515256025095,97.54203476774009
2022-09-12,198.84179663777158,621.0175361194325,169.13366114602275,339.49266106556956,440.2128839661032,6787.91967492467,246.72348116567497,1702.491449636907,446.2942804628233,20554.98114681078,149.83388100908172,3093.702042791242,98.23986317964797
2022-09-13,197.06017777582758,615.4532303514459,167.61822663485538,336.45081303023005,428.37998579369054,6605.460766425107,240.09156752636085,1656.7285728636139,426.3003375017573,19634.11987072872,143.121336838845,2955.1044741243186,97.34296028880867
2022-09-14,195.35787779793927,610.1366512625424,166.1702602993191,333.5443901392824,417.27833275691165,6434.2773871618565,233.86949047298117,1613.793733697464,407.887407418832,18786.07532415828,136.93958435881655,2827.466451624356,96.50589496248661
2022-09-15,194.0592097132484,606.08068482174,165.06562087495607,331.32710840391474,408.95658920667336,6305.959182875293,229.20545265658484,1581.6099931565063,394.32997210746925,18161.6603598097,132.38796172290813,2733.486611070995,95.85752167992545
2022-09-16,194.513850937491,607.5006084880494,165.45233602269803,332.1033403715296,411.83089532160176,6350.279918909863,230.81639780708053,1592.7261639060237,398.9491463672065,18374.40572532115,133.93875194517122,2765.5066244768095,95.28562327458059
2022-09-18,194.4637212121095,607.3440446314098,165.40969597352637,332.0177513547534,411.5124865874178,6345.370174124653,230.63794116895664,1591.4947411849214,398.4350644380231,18350.72864760615,133.7661597924636,2761.943019958223,95.25627430187345
2022-09-19,195.26679153133549,609.8521729998376,166.09278285739632,333.38887394722053,416.6107146051071,6423.982962457287,233.49531452197633,1611.2117688425756,406.6620841719523,18729.640596354373,136.528207951796,2818.9725380836758,95.64600765848816
2022-09-20,194.78505732223684,608.3476332267242,165.68302257629927,332.5663847556189,413.52730807916794,6376.437975507688,231.7671761152248,1599.2869173959962,401.645792462731,18498.605187603403,134.84409393113933,2784.199715335508,95.40442484171587
2022-09-21,193.2694006157664,603.6139735567211,164.3938139081999,329.97862736636694,403.87412246398,6227.5894275672335,226.35691293105825,1561.9539210885073,386.01941055899243,17778.900724684645,129.59786616335535,2675.8779829420337,94.65370595382747
2022-09-22,191.5609607760124,598.2782186106668,162.94062504232122,327.0617215785707,393.16376729862856,6062.439716597125,220.35414425443827,1520.5323981033023,368.95796840063304,16993.101674025078,123.86984721687031,2557.6084447271514,93.82359162377494
